PC1,Prize,Memory,RAM,Battery_,Is_Outlier,Model_Group_Encoded
0.0,,,,,,
0.0,,,,,,
-20651597.173640173,11999.0,128.0,8.0,5000.0,0.0,5.0
-20652255.173640173,5649.0,32.0,2.0,5000.0,0.0,10.0
0.0,,,,,,
0.0,,,,,,
0.0,,,,,,
0.0,,,,,,
0.0,,,,,,
0.0,,,,,,
-20651597.173640173,9499.0,64.0,4.0,6000.0,0.0,11.0
0.0,,,,,,
0.0,,,,,,
-20651427.173640173,10699.0,128.0,4.0,6000.0,0.0,12.0
-20652242.173640173,7299.0,64.0,4.0,5000.0,0.0,12.0
-20652241.173640173,6999.0,64.0,4.0,5000.0,0.0,10.0
0.0,,,,,,
-20652241.173640173,6999.0,64.0,4.0,5000.0,0.0,10.0
-20652255.173640173,5649.0,32.0,2.0,5000.0,0.0,10.0
-20651671.173640173,7299.0,64.0,4.0,5000.0,0.0,5.0
-20646257.173640173,15999.0,128.0,8.0,5000.0,0.0,17.0
-20646257.173640173,15999.0,128.0,8.0,5000.0,0.0,17.0
-20646257.173640173,15999.0,128.0,8.0,5000.0,0.0,17.0
-20646257.173640173,13999.0,128.0,6.0,5000.0,0.0,17.0
-20646257.173640173,12999.0,128.0,4.0,5000.0,0.0,17.0
-20646257.173640173,13999.0,128.0,6.0,5000.0,0.0,17.0
-20646257.173640173,12999.0,128.0,4.0,5000.0,0.0,17.0
-20646257.173640173,13999.0,128.0,6.0,5000.0,0.0,17.0
0.0,,,,,,
-20652255.173640173,6599.0,32.0,3.0,5000.0,0.0,11.0
-20652255.173640173,6599.0,32.0,3.0,5000.0,0.0,11.0
-20652192.173640173,7749.0,64.0,4.0,5000.0,0.0,10.0
-20652255.173640173,6599.0,32.0,3.0,5000.0,0.0,11.0
-20652192.173640173,7749.0,64.0,4.0,5000.0,0.0,10.0
-20652192.173640173,7749.0,64.0,4.0,5000.0,0.0,10.0
-20652192.173640173,8999.0,128.0,6.0,5000.0,0.0,10.0
-20651427.173640173,9699.0,64.0,4.0,6000.0,0.0,12.0
-20651427.173640173,10699.0,128.0,4.0,6000.0,0.0,12.0
-20652192.173640173,9999.0,128.0,4.0,5000.0,0.0,5.0
-20651577.173640173,11999.0,64.0,4.0,5000.0,0.0,10.0
-20652240.173640173,7999.0,64.0,4.0,5000.0,0.0,5.0
-20651597.173640173,10999.0,128.0,6.0,6000.0,0.0,11.0
-20652242.173640173,7299.0,64.0,4.0,5000.0,0.0,12.0
-20651597.173640173,11999.0,128.0,8.0,5000.0,0.0,5.0
-20651597.173640173,9499.0,64.0,4.0,6000.0,0.0,11.0
-20651427.173640173,10699.0,128.0,4.0,6000.0,0.0,12.0
-20652240.173640173,7999.0,64.0,4.0,5000.0,0.0,5.0
-20652192.173640173,9999.0,128.0,4.0,5000.0,0.0,5.0
-20652240.173640173,7999.0,64.0,4.0,5000.0,0.0,5.0
-20652192.173640173,8999.0,128.0,6.0,5000.0,0.0,10.0
-20651582.173640173,20999.0,128.0,8.0,4500.0,0.0,17.0
-20651582.173640173,20999.0,128.0,8.0,4500.0,0.0,17.0
-20645322.173640173,15499.0,128.0,6.0,5000.0,0.0,5.0
-20652255.173640173,6999.0,32.0,2.0,5000.0,0.0,10.0
-20651582.173640173,18999.0,128.0,6.0,4500.0,0.0,17.0
-20651582.173640173,18999.0,128.0,6.0,4500.0,0.0,17.0
-20652178.173640173,12499.0,64.0,4.0,5000.0,0.0,10.0
-20645322.173640173,15499.0,128.0,6.0,5000.0,0.0,5.0
-20651577.173640173,11999.0,64.0,4.0,5000.0,0.0,10.0
-20651427.173640173,9699.0,64.0,4.0,6000.0,0.0,12.0
-20651427.173640173,9699.0,64.0,4.0,6000.0,0.0,12.0
-20652178.173640173,12499.0,64.0,4.0,5000.0,0.0,10.0
-20651671.173640173,7299.0,64.0,4.0,5000.0,0.0,5.0
-20651665.173640173,10499.0,128.0,4.0,5000.0,0.0,16.0
-20651665.173640173,10499.0,128.0,4.0,5000.0,0.0,16.0
-20650947.173640173,14490.0,128.0,6.0,6000.0,0.0,12.0
-20651347.173640173,16999.0,128.0,8.0,5000.0,0.0,5.0
-20651665.173640173,10499.0,128.0,4.0,5000.0,0.0,16.0
-20651665.173640173,6499.0,32.0,3.0,5000.0,0.0,16.0
-20651665.173640173,6499.0,32.0,3.0,5000.0,0.0,16.0
-20651665.173640173,5999.0,32.0,2.0,5000.0,0.0,16.0
-20651665.173640173,6499.0,32.0,3.0,5000.0,0.0,16.0
-20651582.173640173,15999.0,128.0,6.0,5000.0,0.0,10.0
-20652255.173640173,6299.0,32.0,2.0,5000.0,0.0,11.0
-20652181.173640173,13999.0,128.0,8.0,5000.0,0.0,10.0
0.0,,,,,,
-20652255.173640173,6299.0,32.0,3.0,5000.0,0.0,10.0
-20652178.173640173,14499.0,128.0,6.0,5000.0,0.0,10.0
-20652178.173640173,9999.0,64.0,4.0,5000.0,0.0,11.0
-20652189.173640173,13999.0,128.0,8.0,5000.0,0.0,16.0
-20652189.173640173,13999.0,128.0,8.0,5000.0,0.0,16.0
-20652189.173640173,11999.0,64.0,6.0,5000.0,0.0,16.0
-20652189.173640173,13999.0,128.0,8.0,5000.0,0.0,16.0
-20652189.173640173,11999.0,64.0,6.0,5000.0,0.0,16.0
-20652189.173640173,11999.0,64.0,6.0,5000.0,0.0,16.0
-20652189.173640173,10999.0,64.0,4.0,5000.0,0.0,16.0
-20652189.173640173,10999.0,64.0,4.0,5000.0,0.0,16.0
-20652189.173640173,10999.0,64.0,4.0,5000.0,0.0,16.0
0.0,,,,,,
-20650947.173640173,14490.0,128.0,6.0,6000.0,0.0,12.0
-20650947.173640173,13490.0,128.0,4.0,6000.0,0.0,12.0
-20650947.173640173,13490.0,128.0,4.0,6000.0,0.0,12.0
-20651597.173640173,9499.0,64.0,4.0,6000.0,0.0,11.0
-20652178.173640173,9999.0,64.0,4.0,5000.0,0.0,11.0
-20651347.173640173,16999.0,128.0,8.0,5000.0,0.0,5.0
-20652178.173640173,12499.0,64.0,4.0,5000.0,0.0,10.0
-20645322.173640173,19999.0,128.0,8.0,5000.0,0.0,16.0
-20645322.173640173,18999.0,128.0,6.0,5000.0,0.0,16.0
0.0,,,,,,
-20652178.173640173,14499.0,128.0,6.0,5000.0,0.0,10.0
-20652178.173640173,14499.0,128.0,6.0,5000.0,0.0,10.0
-20651467.173640173,15999.0,128.0,8.0,5000.0,0.0,10.0
-20645322.173640173,19999.0,128.0,8.0,5000.0,0.0,16.0
-20645322.173640173,18999.0,128.0,6.0,5000.0,0.0,16.0
-20645322.173640173,19999.0,128.0,8.0,5000.0,0.0,16.0
-20645322.173640173,18999.0,128.0,6.0,5000.0,0.0,16.0
-20652255.173640173,6299.0,32.0,3.0,5000.0,0.0,10.0
-20651477.173640173,15999.0,128.0,8.0,5000.0,0.0,16.0
0.0,,,,,,
-20644172.173640173,15999.0,128.0,8.0,5000.0,0.0,3.0
-20644172.173640173,15999.0,128.0,8.0,5000.0,0.0,3.0
-20651582.173640173,15999.0,128.0,6.0,5000.0,0.0,10.0
-20650947.173640173,13490.0,128.0,4.0,6000.0,0.0,12.0
-20651527.173640173,16999.0,128.0,6.0,5000.0,0.0,12.0
-20651597.173640173,10999.0,128.0,6.0,6000.0,0.0,11.0
-20650947.173640173,13490.0,128.0,4.0,6000.0,0.0,12.0
0.0,,,,,,
-20644257.173640173,29999.0,256.0,8.0,4400.0,0.0,5.0
0.0,,,,,,
-20651577.173640173,11999.0,64.0,4.0,5000.0,0.0,10.0
-20651577.173640173,13999.0,128.0,6.0,5000.0,0.0,10.0
-20651597.173640173,9499.0,64.0,4.0,6000.0,0.0,11.0
0.0,,,,,,
0.0,,,,,,
0.0,,,,,,
-20652182.173640173,12499.0,128.0,6.0,5000.0,0.0,16.0
-20652192.173640173,9999.0,64.0,4.0,5000.0,0.0,3.0
-20651582.173640173,17999.0,256.0,8.0,5000.0,0.0,10.0
-20652178.173640173,12499.0,64.0,4.0,5000.0,0.0,16.0
-20652181.173640173,11499.0,64.0,4.0,5000.0,0.0,16.0
-20650947.173640173,14490.0,128.0,6.0,6000.0,0.0,12.0
-20652255.173640173,6299.0,32.0,2.0,5000.0,0.0,11.0
-20650947.173640173,14490.0,128.0,6.0,6000.0,0.0,12.0
0.0,,,,,,
-20652182.173640173,12499.0,128.0,6.0,5000.0,0.0,16.0
-20652277.173640173,28999.0,128.0,6.0,4410.0,0.0,1.0
-20652277.173640173,28999.0,128.0,6.0,4410.0,0.0,1.0
-20652255.173640173,6299.0,32.0,2.0,5000.0,0.0,11.0
0.0,,,,,,
-20652192.173640173,9999.0,64.0,4.0,5000.0,0.0,3.0
-20651389.173640173,23999.0,128.0,8.0,5000.0,0.0,16.0
-20651389.173640173,23999.0,128.0,8.0,5000.0,0.0,16.0
-20652178.173640173,12499.0,64.0,4.0,5000.0,0.0,16.0
-20651592.173640173,14999.0,64.0,6.0,5000.0,0.0,11.0
0.0,,,,,,
-20652236.173640173,18999.0,128.0,6.0,5000.0,0.0,11.0
-20652236.173640173,18999.0,128.0,6.0,5000.0,0.0,11.0
-20652236.173640173,18999.0,128.0,6.0,5000.0,0.0,11.0
-20652192.173640173,9999.0,64.0,4.0,5000.0,0.0,3.0
-20652236.173640173,16999.0,128.0,4.0,5000.0,0.0,11.0
-20652236.173640173,16999.0,128.0,4.0,5000.0,0.0,11.0
0.0,,,,,,
0.0,,,,,,
-20652242.173640173,7961.0,64.0,4.0,5000.0,0.0,12.0
-20644257.173640173,29999.0,256.0,8.0,4400.0,0.0,5.0
0.0,,,,,,
0.0,,,,,,
-20652178.173640173,11999.0,128.0,6.0,5000.0,0.0,11.0
-20652178.173640173,11999.0,128.0,6.0,5000.0,0.0,11.0
-20644177.173640173,23999.0,256.0,8.0,5080.0,0.0,11.0
-20651577.173640173,8999.0,64.0,4.0,5000.0,0.0,5.0
-20652242.173640173,9499.0,128.0,6.0,5000.0,0.0,11.0
-20651592.173640173,14999.0,64.0,6.0,5000.0,0.0,11.0
-20651527.173640173,16999.0,128.0,6.0,5000.0,0.0,12.0
-20651597.173640173,11248.0,64.0,4.0,5000.0,0.0,5.0
-20652192.173640173,9999.0,128.0,4.0,6000.0,0.0,16.0
-20651499.173640173,23999.0,256.0,8.0,5000.0,0.0,10.0
-20652181.173640173,17999.0,128.0,6.0,5000.0,0.0,16.0
-20652178.173640173,15499.0,128.0,8.0,5000.0,0.0,16.0
-20651671.173640173,6799.0,64.0,2.0,5000.0,0.0,5.0
-20651527.173640173,16999.0,128.0,6.0,5000.0,0.0,12.0
-20651577.173640173,14499.0,128.0,6.0,5000.0,0.0,10.0
-20652255.173640173,5999.0,32.0,2.0,5000.0,0.0,3.0
-20652255.173640173,5999.0,32.0,2.0,5000.0,0.0,3.0
-20652255.173640173,5999.0,32.0,2.0,5000.0,0.0,3.0
-20651499.173640173,23999.0,256.0,8.0,5000.0,0.0,10.0
-20652236.173640173,16999.0,128.0,4.0,5000.0,0.0,11.0
-20651592.173640173,14999.0,64.0,6.0,5000.0,0.0,11.0
0.0,,,,,,
-20651665.173640173,8749.0,64.0,4.0,5000.0,0.0,16.0
-20651665.173640173,8049.0,32.0,3.0,5000.0,0.0,16.0
0.0,,,,,,
0.0,,,,,,
-20652242.173640173,12499.0,64.0,4.0,5000.0,0.0,7.0
-20651499.173640173,17999.0,128.0,8.0,5000.0,0.0,16.0
-20651499.173640173,17999.0,128.0,8.0,5000.0,0.0,16.0
-20644172.173640173,16999.0,128.0,6.0,5000.0,0.0,16.0
-20644172.173640173,14999.0,64.0,4.0,5000.0,0.0,16.0
-20652181.173640173,13999.0,128.0,8.0,5000.0,0.0,10.0
-20651665.173640173,9999.0,64.0,4.0,5000.0,0.0,16.0
-20651665.173640173,9999.0,64.0,4.0,5000.0,0.0,16.0
-20651665.173640173,9999.0,64.0,4.0,5000.0,0.0,16.0
-20651665.173640173,8049.0,32.0,3.0,5000.0,0.0,16.0
0.0,,,,,,
0.0,,,,,,
-20644172.173640173,16999.0,128.0,6.0,5000.0,0.0,16.0
-20644172.173640173,16999.0,128.0,6.0,5000.0,0.0,16.0
-20644172.173640173,14999.0,64.0,4.0,5000.0,0.0,16.0
-20651667.173640173,7499.0,32.0,3.0,5000.0,0.0,16.0
-20651665.173640173,7245.0,32.0,3.0,5000.0,0.0,16.0
-20651582.173640173,17999.0,256.0,8.0,5000.0,0.0,10.0
-20651197.173640173,26999.0,256.0,8.0,5000.0,0.0,11.0
-20651197.173640173,23999.0,128.0,6.0,5000.0,0.0,11.0
-20651665.173640173,8749.0,64.0,4.0,5000.0,0.0,16.0
-20651499.173640173,21999.0,128.0,6.0,5000.0,0.0,10.0
-20651357.173640173,15999.0,128.0,8.0,5000.0,0.0,3.0
-20645322.173640173,17499.0,128.0,6.0,5000.0,0.0,10.0
-20645322.173640173,21499.0,128.0,8.0,5000.0,0.0,5.0
-20644172.173640173,14999.0,64.0,4.0,5000.0,0.0,16.0
-20651197.173640173,29999.0,256.0,8.0,4980.0,0.0,11.0
-20651597.173640173,17999.0,128.0,8.0,5000.0,0.0,17.0
-20651597.173640173,17999.0,128.0,8.0,5000.0,0.0,17.0
-20651597.173640173,15999.0,128.0,6.0,5000.0,0.0,17.0
-20651597.173640173,14499.0,128.0,4.0,5000.0,0.0,17.0
-20651597.173640173,15999.0,128.0,6.0,5000.0,0.0,17.0
-20645322.173640173,21499.0,128.0,8.0,5000.0,0.0,5.0
-20652192.173640173,12999.0,128.0,6.0,5000.0,0.0,5.0
-20651197.173640173,29999.0,256.0,8.0,4980.0,0.0,11.0
-20591065.173640173,7115.0,32.0,3.0,5000.0,0.0,16.0
-20651671.173640173,6799.0,64.0,2.0,5000.0,0.0,5.0
-20651197.173640173,23999.0,128.0,6.0,5000.0,0.0,11.0
-20651597.173640173,14499.0,128.0,4.0,5000.0,0.0,17.0
0.0,,,,,,
-20651357.173640173,15999.0,128.0,8.0,5000.0,0.0,3.0
-20651499.173640173,23999.0,256.0,8.0,5000.0,0.0,10.0
-20580272.173640173,32999.0,128.0,8.0,4600.0,0.0,17.0
-20652181.173640173,12999.0,64.0,4.0,5000.0,0.0,16.0
0.0,,,,,,
0.0,,,,,,
0.0,,,,,,
0.0,,,,,,
-20652181.173640173,12999.0,128.0,6.0,5000.0,0.0,16.0
-20651582.173640173,17999.0,256.0,8.0,5000.0,0.0,10.0
-20651597.173640173,13999.0,128.0,6.0,5000.0,0.0,5.0
-20651597.173640173,17999.0,128.0,8.0,5000.0,0.0,17.0
-20651597.173640173,15999.0,128.0,6.0,5000.0,0.0,17.0
-20652181.173640173,12999.0,128.0,6.0,5000.0,0.0,16.0
-20652242.173640173,9499.0,64.0,3.0,5000.0,0.0,7.0
-20651197.173640173,25999.0,128.0,8.0,5000.0,0.0,11.0
-20580272.173640173,32999.0,128.0,8.0,4600.0,0.0,17.0
-20652192.173640173,10999.0,128.0,4.0,6000.0,0.0,16.0
-20651357.173640173,15999.0,128.0,8.0,5000.0,0.0,3.0
-20651553.173640173,29999.0,256.0,8.0,5000.0,0.0,10.0
-20652277.173640173,4999.0,16.0,2.0,5000.0,0.0,9.0
0.0,,,,,,
0.0,,,,,,
0.0,,,,,,
0.0,,,,,,
-20651597.173640173,10999.0,128.0,6.0,6000.0,0.0,11.0
-20652242.173640173,11970.0,64.0,4.0,5000.0,0.0,7.0
0.0,,,,,,
-20651592.173640173,16999.0,128.0,6.0,5000.0,0.0,11.0
-20652178.173640173,11999.0,128.0,6.0,5000.0,0.0,11.0
-20651197.173640173,25999.0,128.0,8.0,5000.0,0.0,11.0
-20651667.173640173,5999.0,32.0,3.0,5000.0,0.0,9.0
-20651197.173640173,29999.0,256.0,8.0,4980.0,0.0,11.0
-20651592.173640173,16999.0,128.0,6.0,5000.0,0.0,11.0
-20652242.173640173,12499.0,64.0,4.0,5000.0,0.0,7.0
-20652242.173640173,12499.0,64.0,4.0,5000.0,0.0,7.0
-20651499.173640173,21999.0,128.0,6.0,5000.0,0.0,10.0
-20651357.173640173,21999.0,256.0,8.0,4500.0,0.0,16.0
-20651357.173640173,21999.0,256.0,8.0,4500.0,0.0,16.0
-20652178.173640173,9999.0,64.0,4.0,5000.0,0.0,11.0
-20651197.173640173,26999.0,256.0,8.0,5000.0,0.0,11.0
-20651197.173640173,23999.0,128.0,6.0,5000.0,0.0,11.0
-20651592.173640173,16999.0,128.0,6.0,5000.0,0.0,11.0
-20652182.173640173,13499.0,64.0,4.0,5000.0,0.0,16.0
-20651499.173640173,21999.0,128.0,6.0,5000.0,0.0,10.0
0.0,,,,,,
0.0,,,,,,
0.0,,,,,,
0.0,,,,,,
-20651197.173640173,32999.0,256.0,4.0,4980.0,0.0,11.0
-20651597.173640173,10999.0,64.0,4.0,5000.0,0.0,5.0
-20652178.173640173,16999.0,128.0,6.0,5000.0,0.0,5.0
-20651667.173640173,5999.0,32.0,3.0,5000.0,0.0,9.0
-20652242.173640173,12990.0,128.0,4.0,5000.0,0.0,17.0
-20644257.173640173,29999.0,256.0,8.0,4400.0,0.0,5.0
-20645322.173640173,16499.0,64.0,6.0,5000.0,0.0,10.0
-20651553.173640173,29999.0,256.0,8.0,5000.0,0.0,10.0
